wardName,Type,Winner
Bukit Panjang,Rural,PP
Bukit Timah,Rural,PAP
Cairnhill,Urban,SLF
Changi,Rural,DP
Farrer Park,Urban,SLF
Geylang,Urban,SLF
Havelock,Urban,SLF
Kampong Kapor,Urban,SLF
Katong,Urban,SLF
Pasir Panjang,Mixed,SA
Paya Lebar,Mixed,PP
Punggol-Tampines,Rural,PAP
Queenstown,Mixed,SLF
Rochore,Urban,SLF
Seletar,Rural,Independent
Sembawang,Rural,Independent
Serangoon,Mixed,PP
Southern Islands,Rural,SA
Stamford,Urban,SLF
Tanglin,Mixed,PP
Tanjong Pagar,Urban,PAP
Telok Ayer,Urban,Independent
Tiong Bahru,Urban,DP
Ulu Bedok,Rural,SA
Whampoa,Urban,SLF
